"termo","blup","blup_sd","blup_025","blup_975","trait","individuo"
"traitcomp_mm.animal.232",-0.403486434923633,4.83252895820105,-9.66423884523005,8.81334834936186,"comp_mm","232"
"traitcomp_mm.animal.233",-0.327743023061414,4.77110172165796,-10.1718471821318,8.78153692761079,"comp_mm","233"
"traitcomp_mm.animal.235",-0.137388001088205,4.98074686196283,-10.2488402329828,9.70921774846381,"comp_mm","235"
"traitcomp_mm.animal.236",-1.1778888037352,5.19044620884771,-12.7868244036531,8.53884157484209,"comp_mm","236"
"traitcomp_mm.animal.237",0.0133782900126998,4.96180902668116,-10.0446750968811,9.80511936721783,"comp_mm","237"
"traitcomp_mm.animal.24",1.15281483850477,5.12140033316452,-7.89873517789305,12.9636207417219,"comp_mm","24"
"traitcomp_mm.animal.240",2.43408132195562,6.02745651938419,-7.17189104872459,16.4134236274866,"comp_mm","240"
"traitcomp_mm.animal.29",0.254469293299495,5.07761671012744,-10.1394652971838,10.0649410738083,"comp_mm","29"
"traitcomp_mm.animal.3",-0.725960114437424,4.97971555550016,-11.2530160505797,8.39333257283172,"comp_mm","3"
"traitcomp_mm.animal.32",2.99570577901858,4.85882475264239,-5.96294574972939,14.1645388806722,"comp_mm","32"
"traitcomp_mm.animal.34",0.440805901929682,4.62589213384616,-8.79725566586615,9.83622731995713,"comp_mm","34"
"traitcomp_mm.animal.4",-1.8422693220875,4.88552283909153,-12.0588988770678,7.33271124710373,"comp_mm","4"
"traitcomp_mm.animal.43",0.324502342897328,4.87667447542324,-9.53439463266671,10.6405072304309,"comp_mm","43"
"traitcomp_mm.animal.51",-2.9169464549073,5.39944229186845,-14.4755225576324,6.67059577612669,"comp_mm","51"
"traitcomp_mm.animal.53",-1.87198047472236,4.96094913490832,-11.5569174476933,7.51897910107873,"comp_mm","53"
"traitcomp_mm.animal.55",1.06685135687597,5.77001844701875,-8.51164364126531,15.4757470705835,"comp_mm","55"
"traitcomp_mm.animal.61",2.63777623826789,5.19886224294979,-6.70587862010132,13.9464439542733,"comp_mm","61"
"traitcomp_mm.animal.62",2.77869063800202,5.17297783832373,-6.53703423203046,14.0518721059776,"comp_mm","62"
"traitcomp_mm.animal.70",-0.468881740803867,4.84209638511708,-10.8930043665526,8.59500266135696,"comp_mm","70"
"traitcomp_mm.animal.76",0.731612204893981,4.8681002216578,-9.20596045567168,10.3709327548788,"comp_mm","76"
"traitcomp_mm.animal.81",2.3744196417177,4.89263687370255,-6.1864922806885,13.5827386749492,"comp_mm","81"
"traitcomp_mm.animal.82",0.743381026673372,4.56032903711878,-8.04076482225957,9.93928173469828,"comp_mm","82"
"traitcomp_mm.animal.83",-0.331630097163647,4.98466666168767,-10.3116763207166,10.1652700451908,"comp_mm","83"
"traitcomp_mm.animal.84",-1.05814666077697,4.95309396265891,-11.1916365209386,8.45029044480381,"comp_mm","84"
"traitcomp_mm.animal.86",-1.27413107182015,4.90948422010969,-11.8649468999996,8.27166176050255,"comp_mm","86"
