"individuo","bloco","familia","cruzamento","P1","P2","data","estacao","ano","estacao_ano","n_frutos","formato_elipsoide","casca_amarela","polpa_amarela","comp_mm","diam_mm","ind_formato","massa_fruto_g","massa_polpa_g","rend_polpa_pct","esp_casca_mm","esp_casca_inv","sst_brix","aacpd_planta","aacpd_folha","parcela","aacpdm","linha","coluna"
"81","2","1","293 x 355","293","355",2018-11-30,"primavera","2018","primavera_2018",10,0,1,1,82.2727272727273,63.5727272727273,1.29508857461055,86.7009090909091,29.8518181818182,32.122234868317,9.66,8.86666666666667,14.3181818181818,336.5,336.5,"F1B2",336.5,NA,NA
"81","2","1","293 x 355","293","355",2018-12-17,"primavera","2018","primavera_2018",1,0,1,1,66.6,54.8,1.21532846715328,53.9,15.73,29.1836734693878,10.03,8.49666666666667,15.5,366.5,366.5,"F1B2",366.5,NA,NA
"82","2","1","293 x 355","293","355",2018-11-30,"primavera","2018","primavera_2018",4,0,1,1,70.675,55.825,1.26767787427917,70.985,30.165,41.2450207376462,6.8275,11.6991666666667,16.925,321.5,321.5,"F1B2",321.5,"2","61"
"82","2","1","293 x 355","293","355",2018-12-17,"primavera","2018","primavera_2018",2,0,1,1,85.25,66.5,1.28208105646631,117.645,49.51,40.4286854914132,8.765,9.76166666666667,18.9,351.5,351.5,"F1B2",351.5,"2","61"
"82","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",4,0,1,1,67.1477777777778,51.8833333333333,1.29551011815344,47.7588888888889,15.23,31.611499709151,6.89777777777778,11.6288888888889,14.1222222222222,711.5,711.5,"F1B2",711.5,"2","61"
"83","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",1,0,1,1,67.43,53.3,1.26510318949343,66.78,36.15,54.1329739442947,7.65,10.8766666666667,17.8,756.5,771.5,"F1B2",764,"2","60"
"84","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",2,0,1,1,63.42,55.245,1.14661536729641,61.13,18.325,30.4441580084225,7.37,11.1566666666667,12.45,726.5,711.5,"F1B2",719,"2","59"
"86","2","1","293 x 355","293","355",2018-11-30,"primavera","2018","primavera_2018",4,0,1,1,68.025,56.75,1.20415466230972,79.01,23.375,27.8771021575514,6.3875,12.1391666666667,19.9075,381.5,381.5,"F1B2",381.5,"2","57"
"86","2","1","293 x 355","293","355",2018-12-11,"primavera","2018","primavera_2018",1,0,1,1,65.4,65.4,1,60.5,12.8,21.1570247933884,5.06,13.4666666666667,17.2,411.5,411.5,"F1B2",411.5,"2","57"
"87","2","1","293 x 355","293","355",2018-07-07,"inverno","2018","inverno_2018",2,0,0,1,76.3,70.35,1.08462815041762,120.43,37.645,30.5099570318042,7.49,11.0366666666667,14.7,NA,NA,"F1B2",NA,"2","56"
"88","2","1","293 x 355","293","355",2018-08-03,"inverno","2018","inverno_2018",9,0,0,0,76.0777777777778,68.2666666666667,1.12293454859724,124.475222222222,52.3264444444444,41.6763876183415,6.60888888888889,11.9177777777778,17.0222222222222,224,224,"F1B2",224,"2","55"
"88","2","1","293 x 355","293","355",2018-11-30,"primavera","2018","primavera_2018",1,0,0,0,75.5,67,1.12686567164179,120.11,36.94,30.7551411206394,6.48,12.0466666666667,17.4,396.5,411.5,"F1B2",404,"2","55"
"88","2","1","293 x 355","293","355",2018-12-11,"primavera","2018","primavera_2018",4,0,0,0,59.0333333333333,47.8333333333333,1.24102291272579,36.78,12.65,30.5968535975782,5.63,12.8966666666667,16.1333333333333,426.5,441.5,"F1B2",434,"2","55"
"88","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",2,0,0,0,72.535,64.07,1.13399501539938,97.49,32.69,33.6711562961346,7.175,11.3516666666667,16.6,786.5,801.5,"F1B2",794,"2","55"
"89","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",6,0,0,1,59.8926666666667,51.9626666666667,1.15629932354667,48.672,16.9813333333333,34.4042746814105,7.17933333333333,11.3473333333333,13.22,726.5,696.5,"F1B2",711.5,"2","54"
"90","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",6,0,0,1,63.4622222222222,53.1411111111111,1.19498158335179,55.7466666666667,22.0288888888889,38.4703466938797,6.45666666666667,12.07,12.6888888888889,801.5,771.5,"F1B2",786.5,"2","53"
"90","2","1","293 x 355","293","355",2019-06-21,"inverno","2019","inverno_2019",6,0,0,1,66.035,54.87,1.20877108465761,66.1633333333333,24.8916666666667,37.4178500760304,6.47666666666667,12.05,13.6166666666667,801.5,771.5,"F1B2",786.5,"2","53"
"91","2","1","293 x 355","293","355",2018-11-23,"primavera","2018","primavera_2018",4,1,1,1,63.875,49.9,1.27868055721856,46.13,20.46,43.4729143651927,9.4175,9.10916666666667,20.15,NA,NA,"F1B2",NA,"2","52"
"91","2","1","293 x 355","293","355",2018-11-30,"primavera","2018","primavera_2018",11,1,1,1,69.4727272727273,55.1454545454545,1.26011162081085,58.9772727272727,19.4554545454545,32.6908568427313,10.9118181818182,7.61484848484849,20.7,NA,NA,"F1B2",NA,"2","52"
"94","2","1","293 x 355","293","355",2019-06-21,"inverno","2019","inverno_2019",15,1,0,1,67.1666666666667,54.992,1.2289047781492,71.1306666666667,34.7553333333333,48.1233755237366,4.56533333333333,13.9613333333333,12.66,809,756.5,"F1B2",782.75,"2","49"
"95","2","1","293 x 355","293","355",2018-07-07,"inverno","2018","inverno_2018",11,0,1,0,66.75,59.07,1.13225696699571,87.575,40.239,45.1693541851475,5.776,12.7506666666667,13.56,156.5,141.5,"F1B2",149,"2","48"
"95","2","1","293 x 355","293","355",2018-08-03,"inverno","2018","inverno_2018",2,0,1,0,70.4,62.1,1.13271806853583,107.396,49.255,45.4511244665362,6.535,11.9916666666667,13.6,209,194,"F1B2",201.5,"2","48"
"95","2","1","293 x 355","293","355",2018-11-30,"primavera","2018","primavera_2018",2,0,1,0,72.85,58.5,1.25264550264551,73.985,33.315,44.0150241359919,7.16,11.3666666666667,14.2,396.5,366.5,"F1B2",381.5,"2","48"
"95","2","1","293 x 355","293","355",2018-12-11,"primavera","2018","primavera_2018",1,0,1,0,65.7,55.6,1.18165467625899,69.3,25.86,37.3160173160173,6.05,12.4766666666667,17.3,426.5,396.5,"F1B2",411.5,"2","48"
"96","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",2,0,1,1,71.528,56.564,1.26283337763029,77.826,36.216,44.9552964430891,5.278,13.2486666666667,14.24,756.5,741.5,"F1B2",749,"2","47"
"96","2","1","293 x 355","293","355",2019-06-21,"inverno","2019","inverno_2019",2,0,1,1,67.68,54.52,1.24132071931566,49.14,9.98,20.4768897643502,5.435,13.0916666666667,16.75,756.5,741.5,"F1B2",749,"2","47"
"97","2","1","293 x 355","293","355",2019-01-30,"verao","2019","verao_2019",1,0,1,1,71.8,66.5,1.0796992481203,90.45,28.98,32.0398009950249,7.69,10.8366666666667,19.3,531.5,531.5,"F1B2",531.5,"2","46"
"97","2","1","293 x 355","293","355",2019-02-28,"verao","2019","verao_2019",7,0,1,1,85.3285714285714,71.7285714285714,1.18973549509762,129.55,55.1642857142857,41.9741018924637,9.36142857142857,9.1652380952381,19.8142857142857,591.5,591.5,"F1B2",591.5,"2","46"
"97","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",2,0,1,1,69.195,49.155,1.40784077938411,51.015,16.96,34.2434791093915,7.865,10.6616666666667,19.5,801.5,801.5,"F1B2",801.5,"2","46"
"97","2","1","293 x 355","293","355",2019-06-21,"inverno","2019","inverno_2019",5,0,1,1,68.258,55.066,1.24054724269005,62.29,20.97,31.8743964775689,6.384,12.1426666666667,16.78,801.5,801.5,"F1B2",801.5,"2","46"
"98","2","1","293 x 355","293","355",2019-06-10,"outono","2019","outono_2019",3,0,0,1,69.6266666666667,54.4266666666667,1.28237010975806,81.4666666666667,29.6566666666667,34.0644891693588,7.49666666666667,11.03,12.8666666666667,711.5,696.5,"F1B2",704,"2","45"
"98","2","1","293 x 355","293","355",2019-06-21,"inverno","2019","inverno_2019",3,0,0,1,65.28,54.3766666666667,1.21367072888631,59.17,15.84,26.9859633757177,8.65333333333333,9.87333333333333,14,711.5,696.5,"F1B2",704,"2","45"
"99","2","1","293 x 355","293","355",2019-06-21,"inverno","2019","inverno_2019",2,0,1,1,62.425,52.37,1.19201624077477,58.63,18.62,31.8519320530441,7.47,11.0566666666667,8.05,711.5,696.5,"F1B2",704,"2","44"
"100","3","1","293 x 355","293","355",2018-12-11,"primavera","2018","primavera_2018",1,0,1,1,68,61.6,1.1038961038961,17.13,8.81,51.4302393461763,16.6,1.92666666666667,17.5,351.5,336.5,"F1B3",344,"2","43"
"100","3","1","293 x 355","293","355",2019-01-30,"verao","2019","verao_2019",1,0,1,1,70.7,53.6,1.31902985074627,66.23,19.72,29.7750264230711,6.85,11.6766666666667,17.5,441.5,426.5,"F1B3",434,"2","43"
"100","3","1","293 x 355","293","355",2019-06-21,"inverno","2019","inverno_2019",2,0,1,1,68.845,57.975,1.18780078176688,78.3,30.28,38.6806193382151,6.29,12.2366666666667,9.95,711.5,696.5,"F1B3",704,"2","43"
"101","2","3","516 x 355","516","355",2019-01-30,"verao","2019","verao_2019",1,1,1,1,80.7,67.3,1.19910846953938,128.97,37.72,29.2471117314104,10.92,7.60666666666667,15.9,576.5,546.5,"F3B2",561.5,NA,NA
