"individuo","mu_max","t_pico","slope_up","slope_down","t_surv_obs","evento","area_beta","estab","taxa_final","prop_acima","n_aval","familia","mu_max_sc","t_pico_sc","slope_up_sc","area_beta_sc","estab_sc","t_surv_sc","prop_acima_sc","BDSIP"
175,2,84,0.00765306122448979,0.00221674876847291,476,0,100.508333333333,0.240336134453782,2,0,35,"2",-0.861930692964181,-0.965519838948063,0.404786287793461,-0.57137587286361,-0.595229732596361,-0.715109849896159,-0.597738453182839,-0.46777197210537
177,3,210,0.0078781512605042,-3.07295176860555e-19,210,1,130.799666666667,0.381512605042017,3,0.114285714285714,35,"2",0.906513315014053,0.112761441045029,0.453249482221755,0.479100858940469,0.308131165357891,1.13696732148439,0.297062274373984,0.656792428603711
178,3,210,0.00514705882352941,-3.07295176860555e-19,210,1,121.494333333333,0.416806722689076,3,0.114285714285714,35,"2",0.906513315014053,0.112761441045029,-0.134770610174864,0.15640010355342,0.533971389846455,1.13696732148439,0.297062274373984,0.51981630394469
181,2,210,0.00157563025210084,0.000805585392051556,476,0,86.5503333333333,0.25546218487395,2,0,35,"3",-0.861930692964181,0.112761441045029,-0.903719961770443,-1.05542700594418,-0.498441064958406,-0.715109849896159,-0.597738453182839,-0.806925715106674
182,4,266,0.00655209452201933,0.00273109243697479,266,1,119.154,0.710924369747899,4,0.0857142857142857,35,NA,2.67495732299229,0.591997565486404,0.167741750835427,0.0752394070506092,2.41597326058448,0.74705633803585,0.0733620924847785,1.21619361589973
183,4,462,0.00562042999017789,7.1640955308858e-17,210,1,151.848666666667,0.969747899159664,4,0.342857142857143,35,NA,2.67495732299229,2.26932400103121,-0.0328510437105148,1.20906161980972,4.07213490683394,1.13696732148439,2.08666372948763,1.81205402548196
185,3,210,0.00430672268907563,-0.000429645542427498,210,1,140.161,0.574789915966387,3,0.228571428571429,35,"3",0.906513315014053,0.112761441045029,-0.315699869373824,0.803743644951713,1.54487525184288,1.13696732148439,1.19186300193081,0.815279932783841
189,3,462,0.00302302739277529,5.37307164816435e-17,462,1,112.161,0.327731092436975,3,0.0571428571428571,35,"3",0.906513315014053,2.26932400103121,-0.592086935780027,-0.167271667145726,-0.0360063195770621,-0.617632104034025,-0.150338089404427,-0.101296742304558
192,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"3",-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
194,3,406,0.00371841728905132,-0.0183673469387756,406,1,105.203,0.408403361344538,2,0.0857142857142857,35,"3",0.906513315014053,1.79008787658984,-0.442365445022707,-0.40856897220194,0.480199907825368,-0.227721120585489,0.0733620924847785,0.061611537005857
198,2,252,0.00112781954887218,1.10284837107061e-19,476,0,77.245,0.257142857142857,2,0,35,NA,-0.861930692964181,0.47218853437606,-1.00013621173831,-1.37812776133123,-0.487686768554189,-0.715109849896159,-0.597738453182839,-0.888598256896814
201,3,98,0.0119047619047619,0.00111423879896786,98,1,130.785666666667,0.322689075630252,3,0.0857142857142857,35,"2",0.906513315014053,-0.845710807837719,1.3202021825501,0.47861535128442,-0.0682692087897139,1.91678928838146,0.0733620924847785,0.910770185688063
202,2,252,0.00112781954887218,1.10284837107061e-19,476,0,77.245,0.257142857142857,2,0,35,NA,-0.861930692964181,0.47218853437606,-1.00013621173831,-1.37812776133123,-0.487686768554189,-0.715109849896159,-0.597738453182839,-0.888598256896814
204,3,154,0.00849150849150849,-0.000807453416149071,154,1,154.133,0.557983193277311,3,0.257142857142857,35,"2",0.906513315014053,-0.366474683396345,0.585308862843374,1.28828028568833,1.43733228780071,1.52687830493292,1.41556318382001,1.14886261125588
209,2,210,0.00157563025210084,-2.07147569198068e-19,476,0,91.203,0.252100840336134,2,0,35,"2",-0.861930692964181,0.112761441045029,-0.903719961770443,-0.894076628250659,-0.51994965776684,-0.715109849896159,-0.597738453182839,-0.778957358129656
210,3,462,0.0034704791007312,5.37307164816435e-17,462,1,98.203,0.357983193277311,3,0.0571428571428571,35,"2",0.906513315014053,2.26932400103121,-0.495747979583178,-0.651322800226299,0.157571015698849,-0.617632104034025,-0.150338089404427,-0.14012371062612
212,2,210,0.00157563025210084,0.00161117078410311,476,0,86.5503333333333,0.315966386554622,2,0,35,"2",-0.861930692964181,0.112761441045029,-0.903719961770443,-1.05542700594418,-0.111286394406583,-0.715109849896159,-0.597738453182839,-0.72949478099631
215,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA,-0.861930692964181,-0.845710807837719,0.0386199298908044,-0.732726250557135,-0.552212546979492,-0.715109849896159,-0.597738453182839,-0.564671882101232
221,2,154,0.00274725274725274,0.00111801242236025,476,0,100.508333333333,0.240336134453782,2,0,35,"1",-0.861930692964181,-0.366474683396345,-0.651462821541125,-0.57137587286361,-0.595229732596361,-0.715109849896159,-0.597738453182839,-0.679021793972287
222,2,98,0.00595238095238095,0.00136836343732896,476,0,109.813666666667,0.221848739495798,2,0,35,"1",-0.861930692964181,-0.845710807837719,0.0386199298908044,-0.248675117476562,-0.713526993042752,-0.715109849896159,-0.597738453182839,-0.50012454469777
223,3,252,0.00488721804511278,-0.00140056022408964,252,1,95.8696666666667,0.305882352941176,2,0.0285714285714286,35,"1",0.906513315014053,0.47218853437606,-0.1907158416377,-0.732240742901086,-0.175812172831887,0.844534083897984,-0.374038271293633,0.130455728308273
224,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA,-0.861930692964181,-0.845710807837719,0.0386199298908044,-0.732726250557135,-0.552212546979492,-0.715109849896159,-0.597738453182839,-0.564671882101232
225,2,98,0.00595238095238095,0.00259989053092502,476,0,95.8556666666667,0.247058823529412,2,0,35,NA,-0.861930692964181,-0.845710807837719,0.0386199298908044,-0.732726250557135,-0.552212546979492,-0.715109849896159,-0.597738453182839,-0.564671882101232
