"trait","individuo","blup","blup_z","blup_dir","blup_sd","var_pred","precisao","peso_combinado"
"comp_mm",130,-1.26036664452894,-0.905032401112344,-0.905032401112344,3.86797741304912,14.9612492678582,0.0668393382194587,0.00298370805811663
"comp_mm",131,-0.715649513564785,-0.497679524419024,-0.497679524419024,4.01176497230073,16.0942581929791,0.0621339603235791,0.00277365998884457
"comp_mm",132,-1.46496534624061,-1.05803634567794,-1.05803634567794,4.12806226064008,17.0408980277209,0.0586823533814517,0.002619580254948
"comp_mm",133,-1.51102465891959,-1.09248063327559,-1.09248063327559,4.1885292356597,17.543777157976,0.0570002680149961,0.00254449196418943
"comp_mm",134,-1.36988607900221,-0.986933729619392,-0.986933729619392,4.18058265786535,17.4772713592445,0.0572171696282014,0.00255417445220291
"comp_mm",135,-1.34980215037826,-0.971914473504226,-0.971914473504226,4.10274410264218,16.8325091717652,0.0594088492568534,0.00265201103082594
"comp_mm",136,-2.21283617311679,-1.6173125560365,-1.6173125560365,4.13898849589043,17.1312257691133,0.0583729391858781,0.0026057680052576
"comp_mm",138,-1.45811230155956,-1.05291147020359,-1.05291147020359,4.22321551465179,17.8355492831956,0.0560677994336954,0.00250286656672016
"comp_mm",140,-1.23159797504599,-0.883518482040667,-0.883518482040667,4.22040795571502,17.8118433126626,0.0561424206605887,0.00250619765828868
"comp_mm",148,-0.0312227130514468,0.0141516815899166,0.0141516815899166,4.23086364787945,17.9002072069478,0.0558652751020591,0.00249382588055592
"comp_mm",149,-0.130683487666282,-0.0602275335190079,-0.0602275335190079,3.688365355527,13.6040389958518,0.0735075811165289,0.00328137842104185
"comp_mm",15,-1.424538407251,-1.02780408574483,-1.02780408574483,4.16103157236256,17.314183746198,0.0577561157175305,0.00257823300563056
"comp_mm",150,-0.0169287111218453,0.0248410880258346,0.0248410880258346,4.12698193064255,17.0319798558501,0.0587130802445449,0.00262095190211648
"comp_mm",152,0.00270421965677075,0.0395230768526489,0.0395230768526489,4.14580130089397,17.1876684264941,0.0581812480428432,0.00259721091263252
"comp_mm",154,0.171041984818285,0.165410200639802,0.165410200639802,4.07264017009844,16.5863979550995,0.0602903657989559,0.00269136192926539
"comp_mm",157,0.155484675481886,0.153776061833532,0.153776061833532,4.12137940157081,16.9857681716922,0.0588728157532823,0.00262808249522652
"comp_mm",16,-1.43898371361228,-1.03860664135855,-1.03860664135855,3.93541202044043,15.487467770627,0.0645683345276472,0.00288233045331417
"comp_mm",161,1.54381094520724,1.1920006147506,1.1920006147506,4.14080404319808,17.1462581241656,0.0583217628451902,0.00260348349340929
"comp_mm",162,1.2418088964973,0.966156050083578,0.966156050083578,3.81163181307607,14.5285370784536,0.0688300545746648,0.00307257363621304
"comp_mm",166,1.46834507279406,1.13556537805212,1.13556537805212,4.30435828192163,18.5275002191473,0.0539738220575783,0.00240939141665029
"comp_mm",167,1.69196656078191,1.3027950303692,1.3027950303692,3.92240120943606,15.3852312477855,0.0649973980822641,0.00290148385039227
"comp_mm",17,-1.33478272390012,-0.960682576737321,-0.960682576737321,4.30844309996973,18.5626819456768,0.0538715258348161,0.00240482491326619
"comp_mm",170,2.77780675333697,2.11481305022406,2.11481305022406,4.17828443318693,17.4580608046122,0.0572801304332616,0.0025569850225408
"comp_mm",172,0.81948141429301,0.65032916489262,0.65032916489262,3.97122796971348,15.7706515874346,0.0634089209602954,0.00283057423166758
"comp_mm",175,1.61759307569461,1.247176707798,1.247176707798,4.17940913284535,17.4674606997111,0.0572493058488197,0.00255560901309131
"comp_mm",177,1.69798599508144,1.30729651148407,1.30729651148407,4.13989368999735,17.1387197644799,0.0583474153111779,0.00260462861949098
"comp_mm",178,1.58931375560044,1.22602873624275,1.22602873624275,4.13489317722409,17.0973415870543,0.0584886249659523,0.00261093221848011
"comp_mm",18,-1.33978433440798,-0.964422904170883,-0.964422904170883,4.23310250261894,17.9191567976787,0.0558061973166919,0.00249118864821713
"comp_mm",181,0.319231106012885,0.276229672585595,0.276229672585595,4.0257106254253,16.2063460396622,0.0617042236141742,0.00275447654213673
"comp_mm",185,-0.143020737083773,-0.0694536322682845,-0.0694536322682845,4.18195638846238,17.4887592350013,0.0571795852731873,0.00255249668659508
"comp_mm",189,-2.00986897753754,-1.46552869191011,-1.46552869191011,3.91292554126475,15.310986291482,0.0653125788869872,0.00291555352151511
"comp_mm",192,1.57064556722087,1.21206820552544,1.21206820552544,3.77960458067677,14.2854107862728,0.0700014871788582,0.00312486638766423
"comp_mm",194,0.0475465836483904,0.0730573002712938,0.0730573002712938,4.18491470996658,17.5135111296947,0.0570987732039906,0.00254888923582614
"comp_mm",2,-1.3044066818346,-0.937966624888982,-0.937966624888982,4.26782558597569,18.2143352323087,0.0549018115262418,0.00245081686653143
"comp_mm",201,1.52704741291287,1.17946443272973,1.17946443272973,4.12504479594042,17.0159945685151,0.0587682369063698,0.00262341409550035
"comp_mm",204,1.4545922039532,1.12528064425791,1.12528064425791,4.14270633301831,17.16201576163,0.0582682135880419,0.00260109305457019
"comp_mm",208,1.46629632552859,1.13403327442481,1.13403327442481,4.27930629928721,18.3124624031192,0.0546076206457995,0.00243768418562849
"comp_mm",209,2.09580980410654,1.6047989468061,1.6047989468061,4.0298093000144,16.2393629944826,0.061578770074895,0.00274887629614331
"comp_mm",210,2.08959639634268,1.60015240756068,1.60015240756068,4.01278542345782,16.1024468547156,0.0621023630149199,0.00277224948498602
"comp_mm",212,1.53951827733221,1.18879045206582,1.18879045206582,4.16448342102597,17.3429221640002,0.0576604098515627,0.00257396069577376
