"individuo","cluster","entropia","umap1","umap2","familia","cruzamento","IR_comercial","IR_res_sc","IR_final","P_severo_media","var_pred_medio","P_pareto"
"15",1,0,-8.79823726101926,-2.61106937308061,1,"293 x 355",0.107435414242826,0.928304329650846,0.485784713538494,0.0480437877668558,59.2545956009428,0.128
"150",2,0,6.72686797694156,19.2981703959013,3,"516 x 355",-0.00250277901497644,-1.39568487017096,-0.605742871049589,0.116507043783214,59.9998589986467,0.048
"152",2,0,7.10643703059146,19.6798670969511,3,"516 x 355",-0.034573981044558,0,0.00517992655586427,NA,57.4052334984137,NA
"154",2,0,6.89254838541934,19.0379412851836,3,"516 x 355",-0.244608638490224,-1.60916691238624,-1.19833403740118,0.116507043783214,61.8226562880974,0.038
"157",2,0,6.72595054224918,19.6932528696562,3,"516 x 355",0.0950547765477529,-2.53630587291115,-0.843309306284845,0.116507043783214,58.5999763755432,0.078
"16",1,0,-9.47935622616818,-2.89546029944169,1,"293 x 355",0.255275523930029,0,0.322443271645215,NA,59.6113150348453,NA
"161",3,0,11.5799656541724,-7.88553588766801,2,"501 x 355",-0.261521848248021,-0.746261076453777,-0.646790422682441,0.0573354472575569,56.5840085461606,0.054
"162",3,0,11.8606520326514,-8.29857223410355,2,"501 x 355",-0.421607574952119,0.175950493417343,-0.369819161965428,0.0590074146460302,53.098271038101,0.052
"166",3,0,12.7625747354407,-8.18133037466752,2,"501 x 355",-0.647907220540697,0,-1.31874563747831,NA,63.1839793528212,NA
"167",3,0,12.8157058389563,-8.31852596182572,2,"501 x 355",-0.42728927488112,0.714582989609338,-0.411684858948012,0.0573354472575569,57.1050828946632,0.05
"17",1,0,-8.70019668026974,-3.61707179922807,1,"293 x 355",0.31328841354881,-0.212316673089342,0.274642403072778,0.0480437877668558,61.567798173128,0.1
"170",3,0,11.9736428888221,-7.89512889761674,2,"501 x 355",-0.420064966654433,0,-0.833940060793091,NA,60.7235741753453,NA
"172",3,0,12.5293870599646,-7.52131622214066,2,"501 x 355",-0.41126958134715,0.714582989609338,-0.423824368692765,0.0573354472575569,59.119842466481,0.054
"175",3,0,12.3073025377173,-7.1778532781099,2,"501 x 355",-0.803972278606549,0.714582989609338,-1.11811615742421,0.0573354472575569,59.5691167604539,0.028
"177",3,0,12.3839450509925,-8.57233398337113,2,"501 x 355",-0.516171043743576,-0.42603801313085,-1.26599431240102,0.0573354472575569,63.2721236307753,0.04
"178",3,0,12.6646838815589,-8.17661922354447,2,"501 x 355",-0.491324630228479,-0.42603801313085,-1.19471303602427,0.0573354472575569,60.9030258439004,0.016
"18",1,0,-9.0341495840173,-4.0009471692537,1,"293 x 355",0.319491599504821,0.928304329650846,0.88852004375446,0.0480437877668558,57.2350644013939,0.168
"181",2,0,6.77344829157779,19.5854895792509,3,"516 x 355",0.00972379244243568,-0.646447611492127,-0.334192836725593,0.116507043783214,60.7753523663713,0.052
"185",2,0,7.46210366801212,19.5210498056914,3,"516 x 355",-0.0252294458910931,-1.78706861423231,-0.887639098392328,0.116507043783214,61.2734963026242,0.046
"189",2,0,7.00853640154788,19.4064448557402,3,"516 x 355",0.116424804226805,-1.14662248758646,0.127875392305103,0.116507043783214,54.4659112374541,0.138
"192",2,0,6.69876486376712,18.8946955881621,3,"516 x 355",-0.134736991808267,-0.646447611492127,-0.527854092669606,0.116507043783214,58.0628884739446,0.038
