"individuo","familia","cruzamento","IR_comercial","IR_res_sc","IR_est_sc","IR_final","rank_final","P_severo_media","estab_media","var_pred_medio","precisao_media"
"24","2","501 x 355",-0.54251564380759,0.714582989609338,-0.905982156480851,-0.697041530814429,70,0.0573354472575569,14.7037407902743,58.7548528767932,0.2457574930883
"240","1","293 x 355",0.223174674596216,0,-0.296231612899974,0.332299394258477,42,NA,10.6641210051472,58.612577118191,0.231630526635812
"29","2","501 x 355",-0.311755814492088,-0.42603801313085,0.391352051053502,-0.732175431252523,73,0.0573354472575569,5.36445934554786,59.3841766216109,0.224673593249824
"3","1","293 x 355",0.176480090558238,0.928304329650846,-0.17270843367807,0.743506098801655,21,0.0480437877668558,9.35896530956274,56.1855548660915,0.231970129610631
"32","2","501 x 355",-0.828126583544636,0.714582989609338,0.31706348187803,-1.14232923927185,87,0.0573354472575569,5.11659696584573,59.3999865014301,0.214617930282191
"34","2","501 x 355",-0.313826393504385,0.714582989609338,0.478248328585286,-0.202470724811545,55,0.0573354472575569,5.30525262375887,57.8067773320058,0.240428059299091
"4","1","293 x 355",0.258234699354321,0.928304329650846,0.203318795132994,0.945085545127763,12,0.0480437877668558,6.40634291608621,55.1789661082592,0.2329567744864
"43","3","516 x 355",0.0511148639791412,-1.78706861423231,0.75118691423484,-0.508282695873936,64,0.116507043783214,1.9520706006836,56.2413405444533,0.233354672323424
"51","3","516 x 355",-0.0270715183434391,-1.60916691238624,0.471066817770123,-0.838083490916952,77,0.116507043783214,4.82698204955198,61.8155829839259,0.217068029386274
"53","3","516 x 355",-0.0550992233992546,-1.96497031607839,0.408375693741625,-1.00694903273106,84,0.116507043783214,3.44690310536508,61.307459521627,0.21236348110659
"55","3","516 x 355",0.0766379718823902,-2.57188621328036,0.912709708105701,-0.898121567696978,83,0.116507043783214,2.48844073705908,58.9930754718388,0.228613924625902
"61","2","501 x 355",-0.340290769104875,0,0.348419769305366,-0.653535705829903,69,NA,5.68014809401432,60.2970482762061,0.222718621309304
"62","2","501 x 355",-0.61060347743488,0.714582989609338,0.206758856720365,-0.719072067771842,71,0.0573354472575569,6.75558400922216,57.972560495481,0.229065063140423
"70","2","501 x 355",-0.552764992130858,0.714582989609338,0.542544933021464,-0.760762257003214,74,0.0573354472575569,4.32280259020431,61.3423730683689,0.214897852605368
"76","2","501 x 355",-0.49218389295574,-0.42603801313085,0.241714425945585,-0.846341014723543,80,0.0573354472575569,6.78187805058543,55.1563760634654,0.244025988445761
"81","1","293 x 355",-0.095477641173415,0.395976905430661,0.241993984892527,-0.0204966371462236,52,0.049441638486329,6.44753407169444,58.746963761787,0.219851621459673
"82","1","293 x 355",0.255792807768233,0.928304329650846,0.350196361450812,0.913329494164645,14,0.0480437877668558,5.65543481254045,55.9402738231881,0.240994629119314
"83","1","293 x 355",0.359168648759754,0.928304329650846,0.00746053196169688,0.997057871042527,9,0.0480437877668558,8.23977863268588,57.498736479589,0.227690539689876
"84","1","293 x 355",0.13901896090842,0.928304329650846,0.061069063092865,0.580694374989801,30,0.0480437877668558,7.79992033560345,58.6193909213323,0.22774063267554
"86","1","293 x 355",0.395857087601743,0.928304329650846,-0.141093321801392,1.02537093768492,7,0.0480437877668558,9.32195835859166,58.0530712263851,0.22670173985777
"87","1","293 x 355",0.28675747304154,0,-0.693334593942027,0.382160237938958,38,NA,13.5826224118864,59.404248758754,0.220584568866326
"88","1","293 x 355",0.360283133021656,-0.496959396043055,-1.30390619940282,0.426924021933595,35,0.0480437877668558,18.0715935274115,56.1145397568002,0.23834799802335
"89","1","293 x 355",0.18339817911048,0.928304329650846,-0.0968308210752821,0.645515289567738,28,0.0480437877668558,8.97989650903284,58.6490582052018,0.227413075930285
"9","1","293 x 355",0.510934084014439,0.928304329650846,-0.263330970823372,1.24441064389637,2,0.0480437877668558,10.2834528892333,57.3345059198762,0.234323647613764
"90","1","293 x 355",0.288565640297114,-0.105575651981699,-0.01234949407108,0.402337156899512,37,0.0480437877668558,8.2928305773117,58.853444359066,0.232372178250013
"91","1","293 x 355",0.300525550743369,0,-0.4498962322725,0.405678578154341,36,NA,11.6607269068434,59.657182915598,0.218948426222776
"94","1","293 x 355",0.389249377678316,0.285808092079656,-0.011370254961175,0.680861657593873,25,0.0480437877668558,8.3646534079711,59.8565139662205,0.222061880387614
"95","1","293 x 355",0.261337373699104,0.428129453556513,-0.0242323766166625,0.723750046414254,23,0.0480437877668558,10.1175112429337,55.5064797754431,0.230668067487318
"96","1","293 x 355",0.53196921570851,0.428129453556513,-0.425222447578095,1.10230187105911,5,0.0480437877668558,11.3511105502075,56.6619119293865,0.235580277897494
"97","1","293 x 355",0.565013716916111,0.428129453556513,-0.0316794081234024,1.2162366636648,4,0.0480437877668558,8.7891750225589,55.8120524897411,0.246258357940149
"98","1","293 x 355",0.153956125075195,0.928304329650846,-0.120507942990944,0.609225483285125,29,0.0480437877668558,9.09938236074311,58.3438573370495,0.234080845716125
"99","1","293 x 355",0.052210628138475,0.928304329650846,-0.0243257886904301,0.274135586143355,47,0.0480437877668558,8.28379051197443,62.0404038407208,0.213798202984634
