"individuo","P_severo_media","P_severo_pico","P_severo_final","P_severo_var","n_aval","familia","morreu_fusarium","n_aval_sc","P_severo_media_sc","P_severo_pico_sc","P_severo_var_sc","POM_idx"
204,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
209,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
210,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
212,0.0573354472575569,0.357645673933177,0.260583269832889,0.00889229821781148,35,"2",0,0.233607988418237,-0.296398033121632,-0.248712384313716,-0.372544126438843,-0.917654543874191
221,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
222,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
223,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
232,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
233,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
235,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
236,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
237,0.0480437877668558,0.298004008305729,0.215958500487996,0.00609614909907112,35,"1",0,0.233607988418237,-0.632423502084338,-0.647116558595915,-0.599045122808772,-1.87858518348903
