"individuo","P_pareto","contagem","familia","cruzamento","IR_comercial","IR_res_sc","IR_final","P_severo_media","var_pred_medio"
"76",0.05,25,2,"501 x 355",-0.49218389295574,-0.42603801313085,-0.846341014723543,0.0573354472575569,55.1563760634654
"115",0.048,24,3,"516 x 355",-0.333345880021731,-0.646447611492127,-0.866541197413828,0.116507043783214,60.1712250320787
"150",0.048,24,3,"516 x 355",-0.00250277901497644,-1.39568487017096,-0.605742871049589,0.116507043783214,59.9998589986467
"51",0.048,24,3,"516 x 355",-0.0270715183434391,-1.60916691238624,-0.838083490916952,0.116507043783214,61.8155829839259
"185",0.046,23,3,"516 x 355",-0.0252294458910931,-1.78706861423231,-0.887639098392328,0.116507043783214,61.2734963026242
"55",0.044,22,3,"516 x 355",0.0766379718823902,-2.57188621328036,-0.898121567696978,0.116507043783214,58.9930754718388
"62",0.044,22,2,"501 x 355",-0.61060347743488,0.714582989609338,-0.719072067771842,0.0573354472575569,57.972560495481
"204",0.042,21,2,"501 x 355",-0.583841833577592,-0.568359374607707,-1.22031729137381,0.0573354472575569,58.8180066219452
"210",0.042,21,2,"501 x 355",-0.401809925899441,0.214408113515005,-0.721540954675203,0.0573354472575569,59.7392689262968
"23",0.042,21,2,"501 x 355",-0.440918366607548,0.714582989609338,-0.46846033195164,0.0573354472575569,59.029526886106
"29",0.042,21,2,"501 x 355",-0.311755814492088,-0.42603801313085,-0.732175431252523,0.0573354472575569,59.3841766216109
"53",0.042,21,3,"516 x 355",-0.0550992233992546,-1.96497031607839,-1.00694903273106,0.116507043783214,61.307459521627
"132",0.04,20,1,"293 x 355",0.131374250470875,-0.212316673089342,0.0321275906490392,0.0480437877668558,58.6593611755655
"177",0.04,20,2,"501 x 355",-0.516171043743576,-0.42603801313085,-1.26599431240102,0.0573354472575569,63.2721236307753
"32",0.04,20,2,"501 x 355",-0.828126583544636,0.714582989609338,-1.14232923927185,0.0573354472575569,59.3999865014301
"101",0.038,19,3,"516 x 355",-0.0237105660240758,-2.07171133718603,-0.822798369332022,0.116507043783214,57.5105178634346
"154",0.038,19,3,"516 x 355",-0.244608638490224,-1.60916691238624,-1.19833403740118,0.116507043783214,61.8226562880974
"192",0.038,19,3,"516 x 355",-0.134736991808267,-0.646447611492127,-0.527854092669606,0.116507043783214,58.0628884739446
"194",0.038,19,3,"516 x 355",-0.237206593469593,-1.28894384906332,-1.0135833004325,0.116507043783214,61.0278381093163
"24",0.034,17,2,"501 x 355",-0.54251564380759,0.714582989609338,-0.697041530814429,0.0573354472575569,58.7548528767932
"201",0.032,16,2,"501 x 355",-0.700919830034671,-0.710680736084563,-1.45594802613088,0.0573354472575569,58.370899980438
"175",0.028,14,2,"501 x 355",-0.803972278606549,0.714582989609338,-1.11811615742421,0.0573354472575569,59.5691167604539
"103",0.026,13,3,"516 x 355",-0.105839884073712,-1.78706861423231,-1.1703748366054,0.116507043783214,63.7550366717979
"22",0.02,10,2,"501 x 355",-0.696846264441529,-0.710680736084563,-1.6838032392689,0.0573354472575569,61.5366217029583
"178",0.016,8,2,"501 x 355",-0.491324630228479,-0.42603801313085,-1.19471303602427,0.0573354472575569,60.9030258439004
